ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2236,Global X S&P 500 Dividend Aristocrats ETF,3629251.27687,4700000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,PENTAIR PLC,IE00BLS09M33,XNYS,USD,9400.957121,63.78
,PEPSICO INC,US7134481081,XNAS,USD,4367.564287,142.08
,PPG INDUSTRIES INC,US6935061076,XNYS,USD,5046.94167,112.44
,PROCTER & GAMBLE CO,US7427181091,XNYS,USD,3972.712475,142.97
,ROPER TECHNOLOGIES INC,US7766961061,XNAS,USD,1759.413222,410.45
,SHERWIN-WILLIAMS CO,US8243481061,XNYS,USD,1852.319531,346.11
,S&P GLOBAL INC,US78409V1044,XNYS,USD,1381.013569,432.16
,STANLEY BLACK & DECKER,US8545021011,XNYS,USD,6637.962208,98.85
,SYSCO CORP,US8718291078,XNYS,USD,7214.755542,83.06
,TARGET CORP,US87612E1064,XNYS,USD,4295.949007,158.25
,T ROWE PRICE GROUP INC,US74144T1088,XNAS,USD,5106.943661,112.19
,WALMART INC,US9311421039,XNAS,USD,5419.53468,103.5925
,WEST PHARMACEUTICAL SERVICES INC,US9553061055,XNYS,USD,1652.958077,353.77
,WW GRAINGER INC,US3848021040,XNYS,USD,437.43387,1300.34
,C H ROBINSON WORLDWIDE INC,US12541W2098,XNAS,USD,2857.836769,143.83
,JM SMUCKER CO/THE,US8326964058,XNYS,USD,5018.876223,123.05
,NORDSON CORP,US6556631025,XNAS,USD,2032.325505,334.7
,LINDE PLC,IE000S9YS762,XNAS,USD,1165.199956,481.29
,KENVUE INC,US49177J1025,XNYS,USD,30970.70515,18.93
,FASTENAL CO,US3119001044,XNAS,USD,13070.75632,50.66
,ERIE INDEMNITY CO,US29530P1021,XNAS,USD,2809.448067,262.29
,EVERSOURCE ENERGY,US30040W1080,XNYS,USD,7957.038239,72.15
,FACTSET RESEARCH SYSTEMS INC,US3030751057,XNYS,USD,2416.531802,300.06
,EXXON MOBIL CORP,US30233Q1085,XNYS,USD,3836.256334,166.15
,PROSHARES S&P 500 DIVIDEND A,US74348A4673,BATS,USD,26313.77642,58.43
,ESSEX PROPERTY TRUST INC,US2971781057,XNYS,USD,2021.67999,287.71
,FEDERAL REALTY INVS TRUST,US3137451015,XNYS,USD,4738.221748,117.25
,REALTY INCOME CORP,US7561091049,XNYS,USD,9110.624906,63.17
,nan,CASHUSDJPY01,,USD,788120.3271,0.006283775
,DJIA MICR MIN CBOTSep26,,CME,USD,30.000995,52849
