Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
6367,DAIKIN INDUSTRIES LTD ORD,JP3481800005,TSE,JPY,600,20700.0
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,11000,5900.0
6479,MINEBEA MITSUMI INC,JP3906000009,TSE,JPY,700,3365.0
6501,HITACHI LTD,JP3788600009,TSE,JPY,17900,5196.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,3700,5602.0
6504,FUJI ELECTRIC (FUJI ELEC HLDGS) ORD,JP3820000002,TSE,JPY,200,13885.0
6586,MAKITA CORP ORD,JP3862400003,TSE,JPY,7700,5208.0
6594,NIDEC CORP ORD,JP3734800000,TSE,JPY,1800,2627.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,24000,4656.0
6702,FUJITSU LTD ORD,JP3818000006,TSE,JPY,31800,3646.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,59500,3433.0
6752,PANASONIC HOLDINGS CORP,JP3866800000,TSE,JPY,14000,4303.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,182500,3785.0
6762,TDK CORP ORD,JP3538800008,TSE,JPY,48900,3041.0
6841,YOKOGAWA ELECTRIC CORP ORD,JP3955000009,TSE,JPY,1700,5000.0
6857,ADVANTEST CORP ORD,JP3122400009,TSE,JPY,26800,35900.0
6861,KEYENCE CORP ORD,JP3236200006,TSE,JPY,6700,79900.0
6902,DENSO CORP ORD,JP3551500006,TSE,JPY,3200,1948.5
6920,LASERTEC CORP,JP3979200007,TSE,JPY,2800,35120.0
6954,FANUC CORP,JP3802400006,TSE,JPY,31700,6035.0
6971,KYOCERA CORP ORD,JP3249600002,TSE,JPY,29200,3608.0
6981,MURATA MANUFACTURING LTD ORD,JP3914400001,TSE,JPY,57700,7091.0
6988,NITTO DENKO CORP,JP3684000007,TSE,JPY,6100,3414.0
7011,MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,TSE,JPY,3700,3932.0
7012,KAWASAKI HEAVY INDUSTRIES ORD,JP3224200000,TSE,JPY,1100,2603.5
7013,IHI CORP,JP3134800006,TSE,JPY,1800,2673.0
7181,JAPAN POST INSURANCE CO LTD,JP3233250004,TSE,JPY,10400,1651.5
7182,JAPAN POST BANK CO LTD,JP3946750001,TSE,JPY,34300,3151.0
7186,CONCORDIA FINANCIAL GROUP LTD,JP3305990008,TSE,JPY,6300,1882.5
7201,NISSAN MOTOR CO LTD ORD,JP3672400003,TSE,JPY,5200,336.0
7202,ISUZU MOTORS LTD,JP3137200006,TSE,JPY,700,2228.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,21000,3132.0
7259,AISIN CORP,JP3102000001,TSE,JPY,900,2269.0
7267,HONDA MOTOR,JP3854600008,TSE,JPY,7900,1753.0
7269,SUZUKI MOTOR CORP ORD,JP3397200001,TSE,JPY,3000,2103.5
7270,SUBARU CORP,JP3814800003,TSE,JPY,1100,2655.5
7272,YAMAHA MOTOR CO LTD ORD,JP3942800008,TSE,JPY,1800,1940.0
7309,SHIMANO INC,JP3358000002,TSE,JPY,2400,20360.0
7453,RYOHIN KEIKAKU CO LTD ORD,JP3976300008,TSE,JPY,19100,4237.0
7532,PAN PACIFIC INTERNATIONAL HOLD,JP3639650005,TSE,JPY,70300,818.2
7550,ZENSHO HOLDINGS CO LTD ORD,JP3429300001,TSE,JPY,1700,11480.0
7733,OLYMPUS,JP3201200007,TSE,JPY,9700,2168.5
7735,SCREEN HOLDINGS CO LTD,JP3494600004,TSE,JPY,3800,12970.0
7741,HOYA CORP ORD,JP3837800006,TSE,JPY,11800,24895.0
7751,CANON INC,JP3242800005,TSE,JPY,4800,4593.0
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008,TSE,JPY,17900,5484.0
7911,TOPPAN HOLDINGS INC,JP3629000005,TSE,JPY,1400,5123.0
7912,DAI NIPPON PRINTING CO LTD ORD,JP3493800001,TSE,JPY,2200,3225.0
7936,ASICS CORP,JP3118000003,TSE,JPY,23000,4689.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,19900,8599.0
