No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
80,5831,JP3351500008,しずおかフィナンシャルグループ,"SHIZUOKA FINANCIAL GROUP,INC.",12600,40068000.00000001,0.002443750348461461
81,4689,JP3933800009,ＬＩＮＥヤフー,LY CORPORATION,88200,39407760,0.0024034822609585106
82,6976,JP3452000007,太陽誘電,"TAIYO YUDEN CO.,LTD.",3800,38855000,0.0023697693867792266
83,5334,JP3738600000,日本特殊陶業,"NITERRA CO.,LTD.",4100,38601500.00000001,0.002354308402618925
84,6841,JP3955000009,横河電機,YOKOGAWA ELECTRIC CORPORATION,6600,38161200.00000001,0.00232745447233971
85,1801,JP3443600006,大成建設,TAISEI CORPORATION,2900,37888500,0.002310822478728213
86,3402,JP3621000003,東レ,"TORAY INDUSTRIES,INC.",32000,37056000,0.002260048240805328
87,3099,JP3894900004,三越伊勢丹ホールディングス,ISETAN MITSUKOSHI HOLDINGS LTD.,9600,34435200,0.002100205450717283
88,4523,JP3160400002,エーザイ,"EISAI CO.,LTD.",7000,33796000,0.0020612205944046
89,4188,JP3897700005,三菱ケミカルグループ,MITSUBISHI CHEMICAL GROUP CORPORATION,28100,33382800.000000004,0.002036019495173686
90,5844,JP3252200005,京都フィナンシャルグループ,"KYOTO FINANCIAL GROUP,INC.",7500,33277500,0.002029597240214791
91,8359,JP3769000005,八十二長野銀行,"HACHIJUNI NAGANO BANK,LTD.",12600,31600800,0.001927335180484699
92,2768,JP3663900003,双日,SOJITZ CORPORATION,5800,31209800.000000004,0.0019034880609317285
93,9962,JP3885400006,ミスミグループ本社,MISUMI GROUP INC.,7700,29729700.000000004,0.0018132166500612632
94,6479,JP3906000009,ミネベアミツミ,MINEBEA MITSUMI INC.,7900,29245800.000000004,0.0017837035524866274
95,6645,JP3197800000,オムロン,OMRON CORPORATION,5200,28236000,0.0017221157741628681
96,3003,JP3360800001,ヒューリック,"HULIC CO.,LTD.",16000,28136000.000000004,0.0017160167666045638
97,9147,JP3688370000,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディン,"NIPPON EXPRESS HOLDINGS,INC.",5300,27973400.000000004,0.0017060997803147607
98,5333,JP3695200000,ＮＧＫ,"NGK INSULATORS,LTD.",4800,26851200.000000004,0.001637656717495467
99,7701,JP3357200009,島津製作所,SHIMADZU CORPORATION,6500,26611000.000000004,0.0016230069013404196
100,9843,JP3756100008,ニトリホールディングス,"NITORI HOLDINGS CO.,LTD.",10100,25638850,0.001563715399362362
101,9042,JP3774200004,阪急阪神ホールディングス,"HANKYU HANSHIN HOLDINGS,INC.",5400,25461000.000000004,0.0015528683144199174
102,7912,JP3493800001,大日本印刷,"DAI NIPPON PRINTING CO.,LTD.",8700,25417050.000000004,0.0015501878005980427
103,7272,JP3942800008,ヤマハ発動機,"YAMAHA MOTOR CO.,LTD.",18800,25248400.000000004,0.001539901824350962
104,3563,JP3397150008,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥ,FOOD & LIFE COMPANIES LTD.,4500,25015500,0.0015256972357476706
105,7181,JP3233250004,かんぽ生命保険,"JAPAN POST INSURANCE CO.,LTD.",14100,24971100.000000004,0.0015229892763917836
106,7911,JP3629000005,ＴＯＰＰＡＮホールディングス,TOPPAN HOLDINGS INC.,5500,24898500,0.0015185613969044543
107,6448,JP3830000000,ブラザー工業,"BROTHER INDUSTRIES,LTD.",6200,24868200.000000004,0.0015167133976142883
108,1803,JP3358800005,清水建設,SHIMIZU CORPORATION,10400,24746800.000000004,0.0015093092024385066
109,3088,JP3869010003,マツキヨココカラ＆カンパニー,MATSUKIYOCOCOKARA & CO.,9600,24331200.000000004,0.001483961727026193
110,8334,JP3276400003,群馬銀行,"THE GUNMA BANK,LTD.",9400,23861900,0.0014553390845550695
111,3626,JP3104890003,ＴＩＳＩ,TIS INC.,6300,23814000.000000004,0.0014524176599346418
112,9005,JP3574200006,東急,TOKYU CORPORATION,13600,23759200,0.0014490754037926907
113,2269,JP3918000005,明治ホールディングス,"MEIJI HOLDINGS CO.,LTD.",6200,23491800.000000004,0.0014327666575817846
114,6586,JP3862400003,マキタ,MAKITA CORPORATION,4500,23323500,0.0014225020278611578
115,5332,JP3596200000,ＴＯＴＯ,TOTO LTD.,3300,23133000.000000004,0.001410883418462588
116,4091,JP3711600001,日本酸素ホールディングス,NIPPON SANSO HOLDINGS CORPORATION,4000,23124000,0.0014103345077823403
117,6856,JP3853000002,堀場製作所,"HORIBA,LTD.",900,23107500.000000004,0.0014093281715352203
118,3086,JP3386380004,Ｊ．フロント　リテイリング,"J.FRONT RETAILING CO.,LTD.",7600,22659400,0.0013819985186664574
119,9602,JP3598600009,東宝,"TOHO CO.,LTD",14600,22221200,0.001355272667545967
120,4704,JP3637300009,トレンドマイクロ,TREND MICRO INCORPORATED,3500,22193500.000000004,0.001353583242452317
121,6724,JP3414750004,セイコーエプソン,SEIKO EPSON CORPORATION,7500,22125000,0.001349405422274878
122,6845,JP3937200008,アズビル,AZBIL CORPORATION,13100,21818050.000000004,0.0013306845185746625
123,2875,JP3613000003,東洋水産,"TOYO SUISAN KAISHA,LTD.",2100,21766500,0.0013275404801783564
124,3289,JP3569200003,東急不動産ホールディングス,TOKYU FUDOSAN HOLDINGS CORPORATION,16200,21651300.000000004,0.0013205144234711896
125,7752,JP3973400009,リコー,"RICOH COMPANY,LTD.",13700,21639150.000000004,0.0013197733940528557
126,4151,JP3256000005,協和キリン,"KYOWA KIRIN CO.,LTD.",8300,21202350,0.0012931329290381812
127,2413,JP3435750009,エムスリー,"M3,INC.",11900,21199850.000000004,0.0012929804538492238
128,6506,JP3932000007,安川電機,YASKAWA ELECTRIC CORPORATION,4300,20928100,0.001276406400809531
129,8341,JP3352000008,七十七銀行,"THE 77 BANK,LTD.",5900,20620500.000000004,0.0012576458535601867
130,6869,JP3351100007,シスメックス,SYSMEX CORPORATION,12700,20307300,0.0012385437618875766
131,4021,JP3670800006,日産化学,NISSAN CHEMICAL CORPORATION,2700,20258100.000000004,0.001235543050168891
132,4204,JP3419400001,積水化学工業,"SEKISUI CHEMICAL CO.,LTD.",7400,19721000.000000004,0.0012027852805732372
133,9435,JP3783420007,光通信,"HIKARI TSUSHIN,INC.",500,19590000,0.001194795580671858
134,4751,JP3311400000,サイバーエージェント,"CYBERAGENT,INC.",13400,19503700,0.0011895321371490413
135,2702,JP3750500005,日本マクドナルドホールディングス,"MCDONALD'S HOLDINGS COMPANY(JAPAN),LTD.",2400,19392000,0.0011827195457064152
136,4183,JP3888300005,三井化学,"MITSUI CHEMICALS,INC.",9000,19066500,0.0011628672761041339
137,4768,JP3188200004,大塚商会,OTSUKA CORPORATION,5800,18989200,0.0011581527432615645
138,5830,JP3149700001,いよぎんホールディングス,"IYOGIN HOLDINGS,INC.",5200,18896800.000000004,0.0011525172602776914
139,8233,JP3456000003,高島屋,"TAKASHIMAYA COMPANY,LIMITED",8200,18659100.000000004,0.0011380199193116015
140,6370,JP3270000007,栗田工業,KURITA WATER INDUSTRIES LTD.,2100,18358200.000000004,0.001119668005568663
141,8253,JP3271400008,クレディセゾン,"CREDIT SAISON CO.,LTD.",4000,18204000,0.0011102633359137573
142,4536,JP3336000009,参天製薬,"SANTEN PHARMACEUTICAL CO.,LTD.",9500,17898000.000000004,0.0010916003727853456
143,4005,JP3401400001,住友化学,"SUMITOMO CHEMICAL COMPANY,LIMITED",34300,17880590,0.0010905385355694445
144,5406,JP3289800009,神戸製鋼所,"KOBE STEEL,LTD.",8400,17446800,0.0010640816506822753
145,3064,JP3922950005,ＭｏｎｏｔａＲＯ,"MONOTARO CO.,LTD.",8300,16624900.000000002,0.0010139539075605705
146,8252,JP3870400003,丸井グループ,"MARUI GROUP CO.,LTD.",5600,16618000,0.0010135330760390473
147,3197,JP3396210001,すかいらーくホールディングス,"SKYLARK HOLDINGS CO.,LTD.",5200,16333200,0.0009961631025129961
148,7337,JP3796150005,ひろぎんホールディングス,"HIROGIN HOLDINGS,INC.",7400,16313300,0.0009949494000088934
149,8804,JP3582600007,東京建物,"TOKYO TATEMONO CO.,LTD.",4700,15918900,0.0009708949141989404
150,3092,JP3399310006,ＺＯＺＯ,"ZOZO,INC.",13700,15659100,0.0009550496925624652
151,2587,JP3336560002,サントリービバレッジ＆フード,SUNTORY BEVERAGE & FOOD LIMITED,3400,15640000,0.000953884782118829
152,5832,JP3520700000,ちゅうぎんフィナンシャルグループ,"CHUGIN FINANCIAL GROUP,INC.",4700,15618100,0.0009525490994635603
