No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
75,KMB,INE237A01036,KOTAK MAHINDRA BANK LTD,インド,IN,インド・ルピー,INR,11675.485,7683473.23253641,0.0019598617073542804,MOTHER FUND
76,2887,TW0002887007,TAISHIN FINANCIAL HOLDINGS,台湾,TW,台湾・ドル,TWD,46538.4139,7626576.827767531,0.001945348858592023,MOTHER FUND
77,992,HK0992009065,LENOVO GROUP LTD,中国,CN,香港・ドル,HKD,16968.9408,7558858.774522071,0.0019280756781649279,MOTHER FUND
78,2382,TW0002382009,QUANTA COMPUTER INC,台湾,TW,台湾・ドル,TWD,5478.6733,7556386.21842559,0.001927444990991807,MOTHER FUND
79,FEMSAUBD,MXP320321310,FOMENTO ECONOMICO MEXICA-UBD,メキシコ,MX,メキシコ・ペソ,MXN,3697.9484,7513780.103056121,0.0019165772373751036,MOTHER FUND
80,2327,TW0002327004,YAGEO CORPORATION,台湾,TW,台湾・ドル,TWD,3254.0879,7343525.3309857305,0.0018731495064288816,MOTHER FUND
81,1303,TW0001303006,NAN YA PLASTICS CORP,台湾,TW,台湾・ドル,TWD,10215.0622,7322233.205727841,0.001867718418208984,MOTHER FUND
82,TCS,INE467B01029,TATA CONSULTANCY SVS LTD,インド,IN,インド・ルピー,INR,1768.932,7269854.261160031,0.0018543578604737947,MOTHER FUND
83,1288,CNE100000Q43,AGRICULTURAL BANK OF CHINA-H,中国,CN,香港・ドル,HKD,54161.8706,7224646.508349171,0.0018428264942637385,MOTHER FUND
84,2360,TW0002360005,CHROMA ATE INC,台湾,TW,台湾・ドル,TWD,760.4006,7179767.542105741,0.001831378993277637,MOTHER FUND
85,2885,TW0002885001,YUANTA FINANCIAL HOLDING CO,台湾,TW,台湾・ドル,TWD,22761.286,7100038.333645441,0.0018110420677896536,MOTHER FUND
86,PKN,PLPKN0000018,ORLEN SA,ポーランド,PL,ポーランド・ズロチ,PLN,1123.0851,7063396.41407976,0.0018016956312410582,MOTHER FUND
87,012450,KR7012450003,HANWHA AEROSPACE CO LTD,韓国,KR,韓国・ウォン,KRW,71.3709,6919664.01636246,0.0017650330941478742,MOTHER FUND
88,QNBK,QA0006929895,QATAR NATIONAL BANK,カタール,QA,カタール・リヤル,QAR,9444.9765,6914314.024175931,0.0017636684450492578,MOTHER FUND
89,VAL,ZAE000013181,VALTERRA PLATINUM LIMITED,南アフリカ,ZA,南アフリカ・ランド,ZAR,569.9003,6834901.8627643,0.0017434123903278288,MOTHER FUND
90,3017,TW0003017000,ASIA VITAL COMPONENTS CO LTD,台湾,TW,台湾・ドル,TWD,653.6777,6818372.060056141,0.0017391960513913362,MOTHER FUND
91,000270,KR7000270009,KIA CORP,韓国,KR,韓国・ウォン,KRW,497.7289,6739183.80328412,0.001718997109139228,MOTHER FUND
92,EAND,AEE000401019,EMIRATES TELECOM GROUP CO,アラブ首長国連邦,AE,ＵＡＥ・ディルハム,AED,7499.9516,6662964.53750812,0.001699555482177546,MOTHER FUND
93,MAADEN,SA123GA0ITH7,SAUDI ARABIAN MINING CO,サウジアラビア,SA,サウジアラビア・リヤル,SAR,2740.1104,6651820.77264523,0.001696712986685006,MOTHER FUND
94,EMAAR,AEE000301011,EMAAR PROPERTIES PJSC,アラブ首長国連邦,AE,ＵＡＥ・ディルハム,AED,13567.1484,6579809.190519031,0.0016783446345057472,MOTHER FUND
95,SUNP,INE044A01036,SUN PHARMACEUTICAL INDUS LTD,インド,IN,インド・ルピー,INR,1943.6908,6573288.141315181,0.0016766812780731018,MOTHER FUND
96,SBID,US8565522039,STATE BANK OF INDIA-GDR,インド,IN,アメリカ・ドル,USD,378.3327,6567007.738905541,0.0016750793046143662,MOTHER FUND
97,PBK,MYL1295OO004,PUBLIC BANK BHD,マレーシア,MY,マレーシア・リンギット,MYR,32150.273,6524981.62246458,0.0016643594942071839,MOTHER FUND
98,068270,KR7068270008,CELLTRION INC,韓国,KR,韓国・ウォン,KRW,302.7062,6446475.778581881,0.0016443346184026196,MOTHER FUND
99,6160,CH1391448177,BEONE MEDICINES LTD,スイス,CH,香港・ドル,HKD,1598.4422,6422683.029105381,0.0016382656835341794,MOTHER FUND
100,034020,KR7034020008,DOOSAN ENERBILITY CO LTD,韓国,KR,韓国・ウォン,KRW,948.4998,6400018.220595491,0.0016324844581744099,MOTHER FUND
101,035420,KR7035420009,NAVER CORP,韓国,KR,韓国・ウォン,KRW,290.1529,6331991.618112101,0.0016151325745595833,MOTHER FUND
102,BBDC4,BRBBDCACNPR8,BANCO BRADESCO SA - PREF,ブラジル,BR,ブラジル・レアル,BRL,10846.2748,6328960.781196811,0.00161435948392313,MOTHER FUND
103,CEMEXCPO,MXP225611567,CEMEX SAB - CPO,メキシコ,MX,メキシコ・ペソ,MXN,32563.6241,6241270.671556851,0.0015919919318023916,MOTHER FUND
104,AMXB,MX01AM050019,AMERICA MOVIL SAB DE CV,メキシコ,MX,メキシコ・ペソ,MXN,30255.9415,6166136.68426904,0.0015728271322189597,MOTHER FUND
105,012330,KR7012330007,HYUNDAI MOBIS,韓国,KR,韓国・ウォン,KRW,121.9309,6081648.62175318,0.001551276342173619,MOTHER FUND
106,BBCA,ID1000109507,BANK CENTRAL ASIA,インドネシア,ID,インドネシア・ルピア,IDR,105789.0725,6072821.70427887,0.0015490248164601406,MOTHER FUND
107,2886,TW0002886009,MEGA FINANCIAL HOLDING CO LT,台湾,TW,台湾・ドル,TWD,23754.1958,6047586.6481999,0.0015425879852777687,MOTHER FUND
108,MSIL,INE585B01010,MARUTI SUZUKI INDIA LTD,インド,IN,インド・ルピー,INR,251.5992,6032775.924589321,0.0015388101403912057,MOTHER FUND
109,2269,KYG970081173,WUXI BIOLOGICS CAYMAN INC,ケイマン諸島（英領）,KY,香港・ドル,HKD,7784.1014,6028957.752835791,0.001537836220344194,MOTHER FUND
110,1088,CNE1000002R0,CHINA SHENHUA ENERGY CO - H,中国,CN,香港・ドル,HKD,6696.8618,5999201.527935061,0.0015302461521584404,MOTHER FUND
111,TTAN,INE280A01028,TITAN CO LTD,インド,IN,インド・ルピー,INR,723.0476,5926459.921166751,0.0015116915889652044,MOTHER FUND
112,2884,TW0002884004,E.SUN FINANCIAL HOLDINGS CO,台湾,TW,台湾・ドル,TWD,30361.904,5658546.53382493,0.0014433535896193701,MOTHER FUND
113,NTPC,INE733E01010,NTPC LIMITED,インド,IN,インド・ルピー,INR,9671.7626,5636669.40700269,0.001437773282142762,MOTHER FUND
114,SCCO,US84265V1052,SOUTHERN COPPER CORP,アメリカ,US,アメリカ・ドル,USD,187.4321,5572955.79698853,0.0014215215349543573,MOTHER FUND
115,175,KYG3777B1032,GEELY AUTOMOBILE HOLDINGS LT,中国,CN,香港・ドル,HKD,13206.9586,5536692.503583561,0.0014122716764624977,MOTHER FUND
116,6669,TW0006669005,WIWYNN CORP,台湾,TW,台湾・ドル,TWD,226.7862,5493475.119476511,0.00140124800349065,MOTHER FUND
117,SHFL,INE721A01047,SHRIRAM FINANCE LTD,インド,IN,インド・ルピー,INR,3137.6532,5446865.54806255,0.001389359068441902,MOTHER FUND
118,HUVR,INE030A01027,HINDUSTAN UNILEVER LIMITED,インド,IN,インド・ルピー,INR,1528.8055,5446141.84675213,0.0013891744703515689,MOTHER FUND
119,028260,KR7028260008,SAMSUNG C&T CORP,韓国,KR,韓国・ウォン,KRW,163.1526,5376366.989798981,0.0013713766507796176,MOTHER FUND
120,MAY,MYL1155OO000,MALAYAN BANKING,マレーシア,MY,マレーシア・リンギット,MYR,12526.6001,5360521.42760977,0.0013673348444732418,MOTHER FUND
121,006400,KR7006400006,"SAMSUNG SDI CO,LTD",韓国,KR,韓国・ウォン,KRW,133.3903,5359951.34057039,0.0013671894295385469,MOTHER FUND
122,ITSA4,BRITSAACNPR7,ITAUSA SA,ブラジル,BR,ブラジル・レアル,BRL,12206.7916,5345036.6821977105,0.0013633850734956175,MOTHER FUND
123,ETE,GRS003003035,NATIONAL BANK OF GREECE,ギリシャ,GR,ユーロ,EUR,1706.2323,5271665.49037449,0.0013446699189131363,MOTHER FUND
124,2412,TW0002412004,CHUNGHWA TELECOM CO LTD,台湾,TW,台湾・ドル,TWD,7578.1929,5263522.90680166,0.0013425929496493215,MOTHER FUND
125,EMIRATES,AEE000801010,EMIRATES NBD PJSC,アラブ首長国連邦,AE,ＵＡＥ・ディルハム,AED,3908.7261,5210488.28343043,0.0013290651446627585,MOTHER FUND
126,3231,TW0003231007,WISTRON CORP,台湾,TW,台湾・ドル,TWD,6536.7775,5170329.524213191,0.0013188216503441422,MOTHER FUND
127,B3SA3,BRB3SAACNOR6,B3 SA-BRASIL BOLSA BALCAO,ブラジル,BR,ブラジル・レアル,BRL,10352.1077,5134023.27484185,0.0013095608348604318,MOTHER FUND
128,1801,KYG4818G1010,INNOVENT BIOLOGICS INC,ケイマン諸島（英領）,KY,香港・ドル,HKD,2834.827,5117341.76553445,0.0013053057993676286,MOTHER FUND
129,9987,US98850P1093,YUM CHINA HOLDINGS INC,アメリカ,US,香港・ドル,HKD,672.3543,5039457.862679121,0.0012854395651522108,MOTHER FUND
130,2328,CNE100000593,PICC PROPERTY & CASUALTY -H,中国,CN,香港・ドル,HKD,14573.2785,5016588.799883171,0.0012796062396364706,MOTHER FUND
131,005490,KR7005490008,POSCO HOLDINGS INC,韓国,KR,韓国・ウォン,KRW,148.2114,4991989.38538357,0.0012733315447111405,MOTHER FUND
132,3750,CNE100006WS8,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,中国,CN,香港・ドル,HKD,392.2066,4990551.14759158,0.0012729646862489213,MOTHER FUND
133,2357,TW0002357001,ASUSTEK COMPUTER INC,台湾,TW,台湾・ドル,TWD,1358.1156,4948103.288939201,0.0012621372999596454,MOTHER FUND
134,1024,KYG532631028,KUAISHOU TECHNOLOGY,ケイマン諸島（英領）,KY,香港・ドル,HKD,5570.9353,4901535.03262704,0.0012502589033592663,MOTHER FUND
135,032830,KR7032830002,SAMSUNG LIFE INSURANCE CO,韓国,KR,韓国・ウォン,KRW,165.4205,4894865.131661471,0.0012485575785679064,MOTHER FUND
136,316140,KR7316140003,WOORI FINANCIAL GROUP INC,韓国,KR,韓国・ウォン,KRW,1335.3703,4894371.698343451,0.0012484317160789185,MOTHER FUND
137,ICT,PHY411571011,INTERNATIONAL CONTAINER TERMINAL SVCS,フィリピン,PH,フィリピン・ペソ,PHP,1894.3314,4840679.8353464,0.0012347362657142537,MOTHER FUND
138,2883,TW0002883006,KGI FINANCIAL HOLDING CO LTD,台湾,TW,台湾・ドル,TWD,33812.7089,4839083.007328271,0.0012343289548547964,MOTHER FUND
139,AXIA3,BRAXIAACNOR0,AXIA ENERGIA,ブラジル,BR,ブラジル・レアル,BRL,2876.8091,4833337.01982941,0.0012328632972636088,MOTHER FUND
140,WEGE3,BRWEGEACNOR0,WEG SA,ブラジル,BR,ブラジル・レアル,BRL,3246.3505,4822773.70746735,0.001230168860675536,MOTHER FUND
141,5274,TW0005274005,ASPEED TECHNOLOGY INC,台湾,TW,台湾・ドル,TWD,73.372,4789644.2252337,0.0012217183589754382,MOTHER FUND
142,CIMB,MYL1023OO000,CIMB GROUP HOLDINGS BERHAD,マレーシア,MY,マレーシア・リンギット,MYR,15541.522,4786303.51838462,0.001220866228274796,MOTHER FUND
143,2890,TW0002890001,SINOPAC FINANCIAL HOLDINGS,台湾,TW,台湾・ドル,TWD,24764.3014,4756107.288316571,0.001213163925784013,MOTHER FUND
144,WALMEX*,MX01WA000038,WALMART DE MEXICO-SER V,メキシコ,MX,メキシコ・ペソ,MXN,10205.3771,4744888.88412702,0.001210302391667434,MOTHER FUND
