Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
7270,SUBARU CORP,JP3814800003,TSE,JPY,600,2655.5
7272,YAMAHA MOTOR CO LTD ORD,JP3942800008,TSE,JPY,1500,1940.0
7309,SHIMANO INC,JP3358000002,TSE,JPY,100,20360.0
7453,RYOHIN KEIKAKU CO LTD ORD,JP3976300008,TSE,JPY,1600,4237.0
7532,PAN PACIFIC INTERNATIONAL HOLD,JP3639650005,TSE,JPY,6000,818.2
7550,ZENSHO HOLDINGS CO LTD ORD,JP3429300001,TSE,JPY,300,11480.0
7733,OLYMPUS,JP3201200007,TSE,JPY,3600,2168.5
7735,SCREEN HOLDINGS CO LTD,JP3494600004,TSE,JPY,400,12970.0
7741,HOYA CORP ORD,JP3837800006,TSE,JPY,1900,24895.0
7751,CANON INC,JP3242800005,TSE,JPY,1800,4593.0
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008,TSE,JPY,1100,5484.0
7912,DAI NIPPON PRINTING CO LTD ORD,JP3493800001,TSE,JPY,600,3225.0
7936,ASICS CORP,JP3118000003,TSE,JPY,2900,4689.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,2300,8599.0
8001,ITOCHU CORP ORD,JP3143600009,TSE,JPY,12300,2080.0
8002,MARUBENI CORP ORD,JP3877600001,TSE,JPY,3500,4893.0
8015,TOYOTA TSUSHO CORP ORD,JP3635000007,TSE,JPY,1100,7226.0
8031,MITSUI & CO LTD,JP3893600001,TSE,JPY,3900,4899.0
8035,TOKYO ELECTRON LTD ORD,JP3571400005,TSE,JPY,1600,54290.0
8058,MITSUBISHI CORP,JP3898400001,TSE,JPY,4100,4794.0
8113,UNICHARM CORP ORD,JP3951600000,TSE,JPY,1900,1003.5
8136,SANRIO CO LTD ORD,JP3343200006,TSE,JPY,2300,1176.0
8308,RESONA HOLDINGS (DAIWA BANK) ORD,JP3500610005,TSE,JPY,3200,2378.0
8473,SBI HOLDINGS INC ORD,JP3436120004,TSE,JPY,800,3216.0
8591,ORIX CORP ORD,JP3200450009,TSE,JPY,2500,6115.0
8630,SOMPO HOLDINGS INC,JP3165000005,TSE,JPY,1300,6757.0
8697,JAPAN EXCHANGE GROUP INC,JP3183200009,TSE,JPY,4200,2238.0
8725,MS&AD INS (MITSUI SUMITOMO) ORD,JP3890310000,TSE,JPY,3800,4945.0
8750,DAI-ICHI LIFE HOLDINGS INC,JP3476480003,TSE,JPY,7800,1788.5
8766,TOKIO MARINE HOLDINGS INC,JP3910660004,TSE,JPY,5900,7347.0
8802,MITSUBISHI ESTATE CO LTD ORD,JP3899600005,TSE,JPY,1600,3687.0
8830,SUMITOMO REALTY & DEVELOPMNT ORD,JP3409000001,TSE,JPY,800,3339.0
8951,NIPPON BUILDING FUND INC.,JP3027670003,TSE,JPY,14,128400.0
9021,WEST JAPAN RAILWAY CO,JP3659000008,TSE,JPY,600,2959.5
9024,SEIBU HOLDINGS INC,JP3417200007,TSE,JPY,300,3409.0
9202,ANA HOLDINGS INC,JP3429800000,TSE,JPY,300,3040.0
9433,KDDI CORP (DDI) ORD,JP3496400007,TSE,JPY,6800,2915.5
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,74800,233.8
9531,TOKYO GAS CO LTD,JP3573000001,TSE,JPY,500,6090.0
9532,OSAKA GAS CO LTD,JP3180400008,TSE,JPY,500,5551.0
9602,TOHO CO LTD ORD,JP3598600009,TSE,JPY,1000,1543.5
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,1000,4130.0
9735,SECOM CO LTD ORD,JP3421800008,TSE,JPY,900,6413.0
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,300,21885.0
9843,NITORI HOLDINGS CO LTD,JP3756100008,TSE,JPY,800,3029.0
9983,FAST RETAILING CO LTD ORD,JP3802300008,TSE,JPY,600,73510.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,1.0,66090
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2636,Global X MSCI Governance-Quality Japan ETF,6771061.0,324596,20260824,,
,,,,,,
