Ticker,Name,Fee,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
3088,MatsukiyoCocokara & Co.,,,0.07229,0.04991,0.07438,0.00612,-0.006,-0.895201886881677,-0.481057710382856,-0.394374929831609,-0.454249728884022,0.0229,4158493000,957733011456,17.395342,17.534386,1.7827216,-0.00327466230045027,-0.0214988949166164,-0.0139704393601944,-0.00693311582381729,0.0326547921967769,0.437371663244353,-0.00616016427104723,0.22217659137577,2435,3.27,3.22,1.8,Buy,0.992070209929221,Healthcare,Momentum017
3092,"ZOZO, Inc.",,,0.22459,0.20986,0.25539,0.18729,0.173,-0.894671628889526,-0.168448621825312,-0.263278058248387,-0.339154088076886,0.0357,4523058900,985407881216,20.667654,6.5308867,9.2540455,-0.00178651183564091,-0.0428265524625268,-0.0581542351453856,-0.0573597638127372,0.0458586803930744,0.521252796420582,-0.212527964205817,0.0983549888143178,1117.5,3.58,3.62,2.9,Hold,3.16460152340416,Consumer Cyclical,
3099,Isetan Mitsukoshi Holdings Ltd.,,,0.04127,0.13947,0.15761,0.11003,3.086,-0.554094817883031,0.0270308838550743,0.00630546817865776,-0.0279896647420971,0.0218,7205706400,1266673647616,16.984661,22.493341,2.0572214,-0.00981461286804798,-0.0617411521570654,-0.0901803607214429,-0.097639751552795,0.0128276631344116,0.183920704845815,-0.33920704845815,-0.0314488436123349,3632,3.67,2.47,2.4,Buy,0.755097297462391,Consumer Cyclical,
3110,"Nitto Boseki Co., Ltd.",,,0.051420003,0.3533,0.19217,0.28098,0.95,-0.926996866113277,-0.576714650986064,-0.504315382205358,-0.381685686524143,0.0086,14236867600,569740099584,13.644884,10.559697,3.2820268,-0.0339506172839506,0.00643086816720257,-0.0457317073170732,-0.087463556851312,-0.0969417195614541,1.10862619808307,0.405750798722045,0.722399776357827,3130,3.98,3.08,,,1.29216624302762,Consumer Cyclical,Selloff017
3132,"Macnica Holdings, Inc.",,,0.04171,0.022869999,0.04196,0.26803,2.558,-0.754132535138799,-0.245601938207075,-0.220907792513198,-0.375845226521837,0.0235,1980240720,602114621440,21.691862,12.340799,2.1586506,-0.0108536227632737,0.0267965895249696,0.0218181818181818,0.0365816169689517,0.0521060842433697,,,,3372,2.38,1.98,0,Strong Buy,1.7577356214942,Technology,Selloff098
3249,Industrial & Infrastructure Fund Investment Corporation,,,0.024719998,0.44316003,0.54809,1.02278,,-0.836930070099478,0.0413365200895762,0.273241278580125,0.0785851855804562,0.058,1109869500,371936624640,18.390028,22.549833,1.5931286,0.00409556313993174,-0.0047361299052774,0.0229485396383867,0.0172890733056708,0.0447443181818182,0.176070700203943,0.00611828687967369,0.0808973487423522,147100,2.2,2.02,2,Buy,0.815528345597948,Real Estate,
3269,Advance Residence Investment Corporation,,,0.02575,0.44561002,0.50041,0.95593,,-0.671501004496317,-0.084730073313421,0.0307497904679635,0.0629657603685634,0.0422,865427400,428700991488,23.515497,13.445212,0.90127814,-0.00529450694904037,-0.0131319763624425,0.00133244503664224,-0.00529450694904037,-0.00463576158940397,0.277445109780439,0.0578842315369262,0.185961410512309,150300,3.62,4.02,2.8,Hold,1.74898670247818,Real Estate,
3279,Activia Properties Inc.,,,0.020380002,0.46251,0.54929,0.98467,0.223,-0.890917844394623,-0.0673730384282713,-0.0107460553518043,-0.141486625190767,0.0457,625374800,335536095232,21.156506,8.066912,1.2479539,-0.00352858151023289,0.0021291696238467,0.0276564774381368,0.0187590187590188,0.0624529721595184,0.175637393767705,-0.0439093484419263,0.0930122521246458,141200,2.2,1.98,2.8,Hold,2.62262759281371,Real Estate,Momentum033
3281,GLP J-REIT,,,0.02118,0.60415,0.56273997,0.84486,,-0.853166453234107,-0.439982613347599,-0.183809162789621,-0.0320397818907918,0.0469,2009707400,690393513984,22.315268,28.740225,1.5300766,0.00418702023726448,-0.00277200277200277,0.0241992882562278,0.0184005661712668,0.0779026217228464,0.216122307157748,0.000694927032661571,0.113620569840167,143900,2.11,1.98,1.8,Buy,0.776447226839734,Real Estate,Momentum074
3283,"Nippon Prologis REIT, Inc.",,,0.022880001,0.43245998,0.47377998,0.72955,-0.058,-0.833256068045689,-0.185692410671311,-0.123453277968335,-0.128493861153146,0.0428,1006303200,757536391168,25.612661,10.27899,1.5254165,-0.00110619469026549,0.00444938820912125,0.0203389830508475,0.0203389830508475,0.0648584905660377,0.196013289036545,-0.0143964562569214,0.0945736434108527,90300,2.29,1.88,2.1,Buy,2.49174880022259,Real Estate,
3288,"Open House Group Co., Ltd.",,,0.06802,0.080369994,0.12274,1.34336,0.294,-0.860235178362307,-0.0699183310601502,-0.211449192599964,-0.337013164427815,0.0238,1890691110,927005343744,8.560791,10.972533,1.6056536,-0.00178401522359657,-0.0190509583917719,-0.018247748274652,-0.027011361001623,-0.0147904683648316,0.525080424162993,0.042535446205171,0.276063386155129,8393,3.93,3.49,2.2,Buy,0.780201891395542,Real Estate,
3349,COSMOS Pharmaceutical Corporation,,,0.046719998,0.029140001,0.03533,0.27662,0.077,-0.873571428571429,0.0325609268877347,0.0812226127991525,-0.0360464701321369,0.0135,3303974400,490602463232,15.305113,16.95751,1.7293125,-0.00209576011607287,-0.0096,-0.0185508165530363,-0.0553944758126049,0.0107772697583279,0.550888529886914,0.0500807754442649,0.223101777059774,6190,3.67,3.89,2.1,Buy,0.902556625353605,Healthcare,Momentum023
3382,"Seven & i Holdings Co., Ltd.",,,0.02795,0.03562,0.0519,1.04359,0.382,-0.750571990562431,0.173179115999044,0.258385676381594,0.068395559653011,0.0288,22032061560,4917076951040,17.908564,18.441132,1.332887,0.0225961538461538,0.0255544840887175,0.0597907324364723,0.0664326898972174,0.0952626158599382,0.410437235543018,-0.116125999059709,0.0610601786553832,2127,1.79,2.02,2.5,Buy,0.971120644871475,Consumer Defensive,Momentum005
3391,Tsuruha Holdings Inc.,,,,0.02481,0.038039997,0.22553,-0.347,-0.915496662516341,-0.417971480652326,-0.413735075197572,-0.290518618199407,0.0203,5921199880,1074734170112,16.468792,3.797691,1.2265751,0.00295983086680761,-0.00357067842890149,0.00807479813004675,0.00487184918449481,0.124970358074461,0.264755480607083,-0.0725126475548061,0.0712946880269814,2372,2.24,2.42,2.4,Buy,4.33652764271764,Healthcare,Momentum061
3402,"Toray Industries, Inc.",,,0.026199998,0.03076,0.106479995,0.46973,14.434,-0.877518786957595,-0.392521945359251,-0.376492975222891,-0.243436706979679,0.0195,4448126860,1692696313856,21.981453,17.166716,0.93958277,-0.0152607036880034,-0.00300429184549356,-0.0042863266180883,0.00606323083585968,0.0384443451050514,0.377529057253551,-0.164873009040034,0.122829616874731,1161.5,2.15,2.25,1.9,Buy,1.28046931049596,Consumer Cyclical,
3407,Asahi Kasei Corporation,,,0.03545,0.05165,0.0704,0.46694,0.048,-0.847248872625428,-0.344064978255308,-0.260180893724059,-0.157407076129976,0.0236,8178342900,2493904846848,15.829275,18.47696,1.2031877,-0.00750066970265202,-0.00510204081632653,-0.0125266524520256,-0.00776647027316551,0.0525568181818182,0.241565452091768,-0.244264507422402,0.049482645074224,1852.5,2.47,2.29,1.6,Buy,0.856703429568501,Industrials,
3436,Sumco Corporation,,,-0.00897,-0.056939997,-0.07279,0.5838,,-0.73352123084088,0.0552167779612153,0.251294821760696,0.177195813293778,0.0053,86760276900,1290092019712,,74.93398,2.2658994,-0.0141559829059829,-0.0535897435897436,-0.200043346337235,-0.304503485961937,0.085883987100979,0.761040368463831,-0.647791926307234,-0.0175426713627743,3691,3.54,2.28,2.6,Hold,,Technology,Selloff002
3462,"Nomura Real Estate Master Fund, Inc.",,,0.01818,0.347,0.38504001,0.87031,-0.163,-0.852400018075828,-0.256740991609232,-0.122045071256738,-0.234938934726005,0.0446,1072979700,714146119680,24.213076,25.7551,1.1901568,0,-0.0128452151573539,0.0052321778940484,0.00195567144719687,0.0274064171122995,0.236174365647365,0.0540013012361744,0.18334417696812,153700,2.55,3.53,1.8,Buy,0.940127431071904,Real Estate,Momentum075
3563,Food & Life Companies Ltd.,,,0.07081,0.06012,0.11113,1.89668,0.605,-0.875857228781177,-0.183459484589368,-0.226796931279732,-0.0477547482797955,0.0037,11417976000,1227001561088,43.02789,32.461678,10.700655,-0.00607399226946438,0.0102899906454631,-0.00424119491056611,0.0285714285714286,0.104181576525918,0.398148148148148,-0.287037037037037,0.134187962962963,5400,2.2,2.25,1.5,Buy,1.32549802262224,Consumer Cyclical,
3626,TISI Inc.,,,0.085880004,0.07817,0.13372,0.1132,-0.438,-0.966151296026192,-0.426064191797588,-0.481167544830983,-0.538920815730147,0.0263,3451576800,722648891392,16.80082,14.81354,2.3340497,0.00466744457409568,-0.0190828823696952,-0.00777873811581677,-0.0097757331799885,0.0705626359962698,0.509872241579559,-0.099883855981417,0.0954492740998839,3444,2.46,3.22,2.8,Hold,1.13415294386082,Technology,Momentum042
3635,"Koei Tecmo Holdings Co., Ltd.",,,0.08875,0.48454,0.6163,,0.489,-0.827885134330032,-0.285019191058447,-0.152671267227921,-0.206190886668996,0.0321,1500570880,502466510848,11.419026,13.2347765,1.8436773,0.00602006688963211,-0.0211519687601692,-0.0252754374594945,-0.0499052432090967,0.0175913396481732,0.662234042553192,-0.13563829787234,0.269208045212766,1504,3.71,4.02,2.2,Buy,0.862804596662437,Communication Services,Momentum025
3659,"NEXON Co., Ltd.",,,0.06959,0.23958999,0.38206002,0.04776,1.246,-0.88197185300703,-0.214885627993868,-0.141535806595191,-0.179049571760075,0.0267,5271535080,1778390925312,19.868593,13.559728,1.6911641,0.00934579439252336,-0.00241917747965692,-0.00743982494529541,0.00287419854079151,0.0474954428667531,0.851851851851852,0.000881834215167549,0.31104246031746,2268,2.55,3.71,2.3,Buy,1.46526486371998,Communication Services,
