Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1678,NEXT FUNDS Nifty 50 Linked Exchange Traded Fund,0.95,,,,,,,,-0.460145202835042,0.334448922004774,0.0839977949717481,0.072715520300252,0.0392,135852804,,,,,0.00419492135888797,0.00419492135888797,0.00387096774193545,0.0126912214837402,-0.000115741580545254,,,,311.2,3.8,3.8,,,,,
356A,Global X S&P 500 Cash Flow Top 100 ETF,0.18,,,,,,,,-0.313030217433417,0.828691679259539,0.260248755616379,4.86199245617928,0.0039,113480874,,33.8728548117609,19.9140714775245,8.33312595846697,0.0113636363636364,0.0126422250316056,0.0262652146060218,0.0229885057471264,0.0223356732610083,0.652877226728584,-0.220430321520939,0.159962411276544,1602,1.88,1.91,1.75283548230325,Buy,1.70095074982485,,
1625,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF,0.32,,,,,,,,-0.592508795669824,-0.783009915245918,-0.747770391683478,-0.180813748153856,0.0046,89220600,,31.0924728173884,26.6179037286863,6.3566778560914,0.0127948204100509,0.0189205955334988,0.0262417994376757,0.0312352848846335,-0.0176435406698565,0.642839696601722,-0.200271034050899,0.269225425750197,65700,2.42,2.42,1.7014548145471,Buy,1.16810373703019,,
1546,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,0.3,-1,,,,,,,-0.719877798367306,-0.330924188835922,-0.354898753159048,-0.259557324986088,0.0094,78674520,,21.7922471239424,19.0257548160312,6.03076879777065,0.00108564535585042,0.00520833333333333,0.0176578786020846,0.00654942389326865,0.00268579248434955,0.38158523647514,-0.198494504958038,0.122105370888305,82990,2.25,2.07,1.99891369563841,Buy,1.14540775567969,,
2638,Global X Japan Robotics & AI ETF,0.59,,,,,,,,-0.672282861546701,-0.726410055162227,-0.766588806729695,-0.335702822244325,0.0015,67296006,,27.238762,,,0.0130256791961295,0.0183314627759072,0.0236931177134261,0.0349809885931559,0.00479881875230712,,,,2722,1.98,2.33,,,,,
395A,Sector Restructuring Select ETF Regional Banks,0.9,,,,,,,,-0.586830075372266,-0.274915609534175,-0.456571175954992,0.435425498037877,0.0078,88482570,,18.105366,,,0.00921658986175115,0.0301034807149577,0.0369318181818182,0.0186046511627907,0.056949806949807,,,,1095,1.88,1.91,,,,,
1699,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange,0.5,,,,,,,,-0.871350172478276,-0.713821750765855,-0.779068107399858,-0.599503446551582,0,80052892.4,,,,,0.0144137976201764,-0.0127805110629079,-0.0317945763052796,-0.0255384615384616,0.043492586490939,,,,633.4,2.2,2.2,,,,,
237A,iShares 25+ Year US Treasury Bond Long Duration ETF,0.14,,,,,,,,-0.245395489923005,-0.748388546259857,-0.742428493357604,0.262768319615177,0.0984,59734420.8,,,,,-0.00401602356757849,0.0143149495258595,0.0170881537668714,0.026915157127624,-0.0368932038834951,,,,148.8,3.45,3.77,,,,,
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,0.32,46,,,,,,,-0.726581531668697,-0.585353491470443,-0.559378836238645,0.0805313296659064,0.0256,46785680,,14.706692848197,11.7622222512338,1.61139460224349,0.0102803738317757,0.0222222222222222,0.032967032967033,0.0569542899046688,0.00980850070060719,0.299386458054425,-0.173845124502529,0.0939437100741344,43240,1.79,1.98,2.13654259789573,Buy,1.25033284817028,,Expensive
2012,iShares 0-3 Month US Treasury Bond ETF,0.14,,,,,,,,-0.837147479043881,-0.77033340048731,-0.656304325233362,0.157106833947288,0,56734765.5,,,,,0.00082474226804119,0.0012376489730595,0.00455295475453366,0.00289256198347103,-0.0118078421475826,,,,242.7,2.42,2.48,,,,,
2641,Global X Japan Global Leaders ETF,0.275,-1,,,,,,,-0.984272841949723,-0.979741140040028,-0.956046250908426,-0.860629275235438,0.0158,16973370,,20.6776565302042,17.9122504736119,3.42771224594043,0.0166703224391314,0.0231788079470199,0.0286284953395473,0.0436838549876154,0.0719241443108233,0.529990075491134,-0.152819462714962,0.203732281067477,4635,1.79,2.29,1.79163038454507,Buy,1.15438629895592,,
1693,WisdomTree Copper,0.49,,,,,,,,-0.422407623254197,0.253829555408379,0.105338259369054,-0.22138570649209,,72933924,,,,,-0.0210514951959408,0.00576752440106477,0.0235918275200361,0.0025428413488115,0.0240542066629023,,,,9068,2.38,2.11,,,,,
1563,TSE Growth Core ETF,0.5,,,,,,,,3.66323203896413,-0.123061251969918,-0.400875467881138,0.00327347230929642,0,60944952,,29.423727,,,0.0274941084053417,0.0586806960744638,0.0586806960744638,0.0809917355371901,0.162666666666667,,,,2616,1.79,1.88,,,,,
2511,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn UnHdg ETF,0.12,,,,,,,,-0.893487873158735,0.12796583789926,-0.230639209974168,-0.325145478447127,0.0285,77202440,,,,,0.00337268128161889,0.00506756756756757,0.00168350168350168,0.00591715976331361,-0.00791996665277199,,,,1190,2.02,2.56,,,,,
1656,iShares Core 7-10 Year US Treasury Bond ETF,0.14,,,,,,,,-0.879587737747005,0.678355773440783,0.266663432442652,0.283401804455712,0.0374,67799276.8,,,,,-0.0025641025641026,0.00322368714899126,0.00419492135888797,0.00193172532097247,-0.0179867276941201,,,,311.2,3.62,3.36,,,,,
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,0.19,,,,,,,,-0.289432550807189,0.0749592371698365,-0.313994816084192,-0.100900629224051,0.0231,41355057,,18.5901514969941,19.0275000648143,4.2772229951302,0.0174199623352166,0.02855782960495,0.02855782960495,0.0174199623352166,0.0300285986653956,0.478475512136054,-0.204746422718041,0.176298030119236,2161,2.07,2.07,1.75640206600688,Buy,0.977014922279306,,
2017,iFreeETF JPX Prime 150,0.15,,,,,,,,-0.840858200886582,-0.653634651992324,-0.526744987141067,-0.296531317442449,0.0147,39758000,,21.062971,,,0.0104712041884817,0.0164581961816985,0.0238726790450928,0.0390309555854643,0.0225165562913907,,,,1544,2.07,2.23,,,,,
