Ticker,Name,Fee,Bought,Market cap,PE ratio,Forward PE ratio,PB,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Avg Volume,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Price 1D,Price 3D,Price 5D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating,Score,Sector,Note
425A,Global X Gold ETF,,,,,,,,,,,,,285300,-0.4866502806,-0.5016479618,-0.4391598671,-0.287491566,0.001573944842,-0.007538373057,0.02167510711,-0.06329736437,,,,381.8,4.01,3.41,,0,,
1678,NEXT FUNDS Nifty 50 Linked Exchange Traded Fund,,,,,,,,,,,,0.0395,696844,-0.2277250162,-0.1217667388,-0.01302569022,-0.3533701827,0.005582922824,-0.01384863124,-0.00616684864,-0.06360856269,,,,306.2,3.8,3.93,,0,,
513A,Global X Japan Defense Tech ETF,,,,26.97,,,,,,,,,523991,-0.4539546299,0.1530523047,-0.08626207038,-0.1473904023,-0.008092485549,-0.03595505618,-0.06840390879,-0.06637649619,,,,858,3.82,4.25,,0,,
1476,iShares Core Japan REIT ETF,,,,19.27,,,,,,,,0.0449,179671,-0.1055452197,0.2618643622,0.3594169745,-0.1405184632,-0.007115489874,-0.01305767138,-0.02157497303,-0.08426344626,,,,1814,4.3,3.93,,0,,
1343,NEXT FUNDS REIT INDEX ETF,,,,19.22,,,,,,,,0.0449,1125544,0.3369240387,1.768043163,1.095850068,0.1156585844,-0.01125949201,-0.01564129301,-0.02226825479,-0.08516386375,,,,1888,4.21,4.21,,0,,
1571,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,,,,,,,,,,,,0,1516809,-0.2800974062,-0.2862510798,-0.2876060302,-0.1104590686,0.01023890785,-0.01333333333,-0.04516129032,-0.1420289855,,,,296,3.44,4.02,,0,,
1357,NEXT FUNDS Nikkei 225 Double Inverse Index ETF,,,,,,,,,,,,0,9528606,0.1336275488,0.2814850025,0.211823238,-0.04621169371,0.02809798271,-0.01823185415,-0.08613512648,-0.2661352533,,,,2854,3.53,4.02,,0,,
1545,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,0.31%,,,0.02,,,,,,,,0.0032,164945674,-0.7949739539,-0.8160737601,-0.8279296716,2377.417324,-0.004042012616,0.00162601626,0.022406639,-0.9941914191,,,,246.4,2.47,2.02,,0,,
568A,iShares Silver ETF,,,,,,,,,,,,,103120,,,,,,,,,,,,192.3,5,0,,0,,
573A,iShares 20+ Year Japan Government Bond ETF,,,,,,,,,,,,,194845,,,,,,,,,,,,506.1,0,0,,0,,
