No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
27,MUV2,DE0008430026,MUENCHENER RUECKVER AG-REG,96.4475,9334255.49615339,0.013892163409752776,MOTHER FUND
28,ITX,ES0148396007,INDUSTRIA DE DISENO TEXTIL SA,859.156,9142018.907955032,0.013606057881820153,MOTHER FUND
29,DBK,DE0005140008,DEUTSCHE BANK AG-REG,1477.1417,8712068.53956652,0.012966163165182279,MOTHER FUND
30,NDA,FI4000297767,NORDEA BANK ABP,2631.4166,8478460.1200102,0.012618483980730143,MOTHER FUND
31,DHL,DE0005552004,DHL GROUP,731.7628,7832524.60270556,0.01165713877625645,MOTHER FUND
32,RMS,FR0000052292,HERMES INTERNATIONAL,27.1291,7786817.79356834,0.01158911337650879,MOTHER FUND
33,RHM,DE0007030009,RHEINMETALL AG,36.1033,7616456.72559957,0.01133556516413583,MOTHER FUND
34,EL,FR0000121667,ESSILORLUXOTTICA,242.0986,7332108.48713075,0.010912369956364621,MOTHER FUND
35,PRX,NL0013654783,PROSUS NV,981.1852,7243683.81153643,0.010780767597363745,MOTHER FUND
36,DB1,DE0005810055,DEUTSCHE BOERSE AG,144.1038,7039929.23121832,0.010477519852920576,MOTHER FUND
37,ENI,IT0003132476,ENI SPA,1567.9158,6937036.61241485,0.01032438486806139,MOTHER FUND
38,BAYN,DE000BAY0017,BAYER AG-REG,760.5423,6819944.865443121,0.010150117334508765,MOTHER FUND
39,ARGX,NL0010832176,ARGENX SE,48.069,6643644.69740014,0.009887729965250523,MOTHER FUND
40,BAS,DE000BASF111,BASF SE,690.605,6550767.656644921,0.009749501155495157,MOTHER FUND
41,BN,FR0000120644,DANONE,495.3376,6266566.100826961,0.009326524255371083,MOTHER FUND
42,RACE,NL0011585146,FERRARI NV,88.9173,5656608.37185748,0.008418724758413059,MOTHER FUND
43,SGO,FR0000125007,COMP DE SAINT-GOBAIN (ORD),385.893,5432031.869478431,0.008084487767543655,MOTHER FUND
44,MBG,DE0007100000,MERCEDES-BENZ GROUP AG,557.5385,4861262.85539527,0.007235012796975906,MOTHER FUND
45,AD,NL0011794037,KONINKLIJKE AHOLD DELHAIZE NV,685.0348,4392824.58923007,0.006537836579372908,MOTHER FUND
46,ADS,DE000A1EWWW0,ADIDAS AG,139.462,4163023.9357592603,0.0061958244894959975,MOTHER FUND
47,ADYEN,NL0012969182,ADYEN NV,23.3124,3820166.9586529,0.005685550782707251,MOTHER FUND
48,BMW,DE0005190003,BAYER MOTOREN WERK,202.4881,2255822.7911525504,0.003357338874112693,MOTHER FUND
49,WKL,NL0000395903,WOLTERS KLUWER,172.677,2198619.75504278,0.003272203650901972,MOTHER FUND
50,VOW3,DE0007664039,VOLKSWAGEN AG-PREF,149.4678,2106753.60738065,0.003135479352357464,MOTHER FUND
51,VGU6,-,EURO502609,3.1978000000000004,37607376.67756048,0.05597102226654223,MOTHER FUND
52,-,-,FWRDEURJPY01,23415.5849,4333967.19562776,0.006450239177509162,MOTHER FUND
,,,,,,,
,,,合計（Total）,,666527685.8527362,0.9919925089693965,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,671907983,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
486A,"NEXT FUNDS ユーロ・ストックス50指数（為替ヘッジなし）連動型上場投信
　（NEXT FUNDS EURO STOXX 50 (Unhedged) Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3051110009,,
