No.,種別 （Sector）,Sector,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量 Quantity,単価 Price,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
847,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0928.20,JP391160AJ30,民間都市開発推進機構　政府保証第２０回,ORG PROMOTING URBAN DEV,16752812.1184,97.749,16375706.3176124,7.850726303082296e-05,0.145,1.64964427924382,2028-03-29 00:00:00,MOTHER FUND
848,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.6882,JP351265AK43,政保　地方公共団体金融機構債券　第１１９,JAPAN FIN ORG MUNICIPAL,17106744.7688,95.574,16349600.2453197,7.838210712948756e-05,0.04,2.67812107561207,2029-04-13 00:00:00,MOTHER FUND
849,地方債証券,Municipal Bond,B.0127.3202,JP2440001LA7,大分県　公募令和２年度第２回,OITA PREFECTURE,17696632.5194,92.31500000000001,16336646.310315501,7.832000428256699e-05,0.135,4.19392070834949,2030-10-30 00:00:00,MOTHER FUND
850,地方債証券,Municipal Bond,B.0121.3202,JP2150001LB5,新潟県　公募令和２年度第２回,NIIGATA PREFECTURE,17696632.5194,92.105,16299483.3820247,7.814184037746668e-05,0.135,4.27491778191866,2030-11-29 00:00:00,MOTHER FUND
851,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5103,JP339170EFB6,貸付債権担保第１０３回住宅金融支援機構債,KIKO 103 1,20136998.1439,79.731,16055429.8603089,7.697181609568447e-05,0.86,0.3472150979313,2050-12-10 00:00:00,MOTHER FUND
852,地方債証券,Municipal Bond,B.0110.7024,JP2110002J58,埼玉県　公募（３０年）第９回,SAITAMA PREFECTURE,29494387.5324,53.734,15848514.1966545,7.597983552906657e-05,0.845,18.4322189511082,2048-03-19 00:00:00,MOTHER FUND
853,地方債証券,Municipal Bond,B.0153.3002,JP2281001J58,神戸市　公募平成３０年度第２回,KOBE CITY,29494387.5324,53.734,15848514.1966545,7.597983552906657e-05,0.845,18.4322189511082,2048-03-19 00:00:00,MOTHER FUND
854,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5173,JP339170BM98,貸付債権担保第１７３回住宅金融支援機構債,KIKO 173 1,22856380.6744,69.20000000000002,15816615.4266504,7.582690868252327e-05,0.33,0.299709276510418,2056-10-10 00:00:00,MOTHER FUND
855,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.6839,JP351265AJA9,政保　地方公共団体金融機構債券　第１１３,JAPAN FIN ORG MUNICIPAL,16221913.1428,96.92500000000001,15723089.313673003,7.537853234935284e-05,0.219,2.18743447553937,2028-10-16 00:00:00,MOTHER FUND
856,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.6756,JP351265AH97,政保　地方公共団体金融機構債券　第１００,JAPAN FIN ORG MUNICIPAL,15926969.2675,98.568,15698895.067580102,7.526254199113514e-05,0.09,1.12313511775216,2027-09-17 00:00:00,MOTHER FUND
