No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
188,WKP,GB00B67G5X01,WORKSPACE GROUP PLC,イギリス,GB,イギリス・ポンド,GBP,22902.5655,17211974.738657802,0.0003991722241807728,MOTHER FUND
189,SGREIT,SG1S18926810,STARHILL GLOBAL REIT,シンガポール,SG,シンガポール・ドル,SGD,242905.9973,16882610.5156743,0.000391533760178231,MOTHER FUND
190,SERT,SGXC11267561,STONEWEG EUROPE STAPLED TRUST,シンガポール,SG,ユーロ,EUR,57256.4137,16852898.601088803,0.0003908446950819917,MOTHER FUND
191,SLARL,IL0011096448,SELLA CAPITAL REAL ESTATE LTD,イスラエル,IL,イスラエル・シユケル,ILS,37129.9167,16782933.3456507,0.00038922209296615907,MOTHER FUND
192,CRR-U,CA2271071094,CROMBIE REAL ESTATE INVESTMENT,カナダ,CA,カナダ・ドル,CAD,8050.5988,16136874.529496,0.00037423899320498786,MOTHER FUND
193,VHP,NZCHPE0001S4,VITAL HEALTHCARE PROPERTY TRUST,ニュージーランド,NZ,ニュージーランド・ドル,NZD,89528.2104,16094920.499653403,0.0003732660145863287,MOTHER FUND
194,CLCT,SG1U25933169,CAPITALAND CHINA TRUST,シンガポール,SG,シンガポール・ドル,SGD,190951.5276,16021615.980769103,0.00037156596980414413,MOTHER FUND
195,CTO,US22948Q1013,CTO REALTY GROWTH INC,アメリカ,US,アメリカ・ドル,USD,4511.1114,15856314.632488402,0.00036773237674726556,MOTHER FUND
196,OUEREIT,SG2G60000004,OUE REAL ESTATE INVESTMENT TRUST,シンガポール,SG,シンガポール・ドル,SGD,350478.6533,15800559.0308859,0.00036643931840618974,MOTHER FUND
197,CLDT,US16208T1025,CHATHAM LODGING TRUST,アメリカ,US,アメリカ・ドル,USD,7356.5816,15760722.7943315,0.0003655154546781832,MOTHER FUND
198,IRES,IE00BJ34P519,IRISH RESIDENTIAL PROPERTIES,アイルランド,IE,ユーロ,EUR,77382.9106,15614385.464271301,0.00036212166643437353,MOTHER FUND
199,NXRT,US65341D1028,NEXPOINT RESIDENTIAL TRUST INC,アメリカ,US,アメリカ・ドル,USD,3504.7865,14955330.830250602,0.00034683717362554885,MOTHER FUND
