No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
39,国債,B.20560112.GB00,US105756CN87,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,200086.0698,96.65,193383.18649095,160.72,31080545.7328255,0.00806336267505819,7.25,11.8045808093279,2056-01-12 00:00:00,MOTHER FUND
40,国債,B.20340115.GB00,US715638DU38,REPUBLIC OF PERU,ペルー,PE,アメリカ・ドル,USD,225096.8286,85.15,191669.949518028,160.72,30805194.2865376,0.007991927038322369,3,6.22852539972925,2034-01-15 00:00:00,MOTHER FUND
41,国債,B.20340116.GB00,XS2747599095,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,193833.3801,98.33113000000002,190598.553016791,160.72,30632999.464518905,0.007947253778314666,5,6.13517962010511,2034-01-16 00:00:00,MOTHER FUND
42,国債,B.20370113.GB01,US168863EE43,REPUBLIC OF CHILE,チリ,CL,アメリカ・ドル,USD,187580.6905,101.5,190394.400822861,160.72,30600188.100250203,0.00793874138177452,5.65,7.57840027701667,2037-01-13 00:00:00,MOTHER FUND
43,国債,B.20420307.GB00,US168863DY16,REPUBLIC OF CHILE,チリ,CL,アメリカ・ドル,USD,218844.13890000002,85.25,186564.6283925159,160.72,29984667.07524516,0.007779054055129626,4.34,10.3437763821553,2042-03-07 00:00:00,MOTHER FUND
44,国債,B.20340113.GB00,US922646BL74,REPUBLIC OF VENEZUELA,ベネズエラ,VE,アメリカ・ドル,USD,375161.3809,49.231640000000006,184698.100479345,160.72,29684678.71854446,0.007701226756369626,0,7.10622329892719,2034-01-13 00:00:00,MOTHER FUND
45,国債,B.20280113.GB01,XS2974923497,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,181328.0008,100.46478000000002,182170.777065719,160.72,29278487.302107602,0.0075958467307297665,5.125,1.38468187359272,2028-01-13 00:00:00,MOTHER FUND
46,国債,B.20340918.GB00,US731011AY80,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,181328.0008,98.93480000000001,179396.494919329,160.72,28832604.686944705,0.007480169442838239,5.125,6.3688203780453,2034-09-18 00:00:00,MOTHER FUND
47,国債,B.20341209.GB00,XS2948512913,REPUBLIC OF NIGERIA,ナイジェリア,NG,アメリカ・ドル,USD,150064.5524,119.41446000000002,179198.774867274,160.72,28800827.079861104,0.0074719252384711984,10.375,5.74755248580508,2034-12-09 00:00:00,MOTHER FUND
48,国債,B.20330707.GB00,XS3068594129,CBB INTL SUKUK PROG WLL,バハレーン,BH,アメリカ・ドル,USD,181328.0008,96.95560000000002,175807.651127818,160.72,28255805.693764903,0.0073305279432134395,6.25,5.50379585414659,2033-07-07 00:00:00,MOTHER FUND
49,国債,B.20290314.GB04,US900123DH01,REPUBLIC OF TURKEY,トルコ,TR,アメリカ・ドル,USD,162569.9317,107.75403000000001,175175.653014963,160.72,28154230.9374584,0.007304175957448113,9.375,2.25311127469236,2029-03-14 00:00:00,MOTHER FUND
50,国債,B.20300116.GB00,XS2747598444,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,175075.3111,99.32374,173891.346802626,160.72,27947817.270723503,0.007250625152057518,4.75,3.14961217851481,2030-01-16 00:00:00,MOTHER FUND
51,国債,B.20371211.GB00,XS3250317354,REPUBLIC OF SOUTH AFRICA,南アフリカ,ZA,アメリカ・ドル,USD,181328.0008,95.84366,173791.392555904,160.72,27931752.6102844,0.007246457426545692,6.125,7.94298765820975,2037-12-11 00:00:00,MOTHER FUND
52,国債,B.20350103.GB00,US900123DN78,REPUBLIC OF TURKEY,トルコ,TR,アメリカ・ドル,USD,181328.0008,95.61742,173381.156086931,160.72,27865819.435704302,0.007229352093083167,6.5,6.31366009040036,2035-01-03 00:00:00,MOTHER FUND
53,国債,B.20310922.GB00,XS2388586401,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,200086.0698,86.02821000000002,172130.464334326,160.72,27664808.2179087,0.007177202868781444,2.125,4.71163419358924,2031-09-22 00:00:00,MOTHER FUND
54,国債,B.20290130.GB00,XS2756521212,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,168822.6214,100.69000000000001,169987.497507078,160.72,27320390.624348402,0.007087849097698384,5.875,2.29791725605289,2029-01-30 00:00:00,MOTHER FUND
55,国債,B.20300212.GB00,US857524AF94,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,168822.6214,100.50182000000002,169669.8070980917,160.72,27269331.41051121,0.0070746025812886745,4.875,3.14194479162137,2030-02-12 00:00:00,MOTHER FUND
