Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NOVT","NOVANTA","Information Technology","Equity","15,417,302.96","0.28","15,417,302.96","106,055.00","-","United States","NASDAQ","JPY","-","USD"
"NEM","NEMETSCHEK","Information Technology","Equity","14,314,438.28","0.26","14,314,438.28","188,538.00","-","Germany","Xetra","JPY","-","EUR"
"6845","AZBIL CORP","Information Technology","Equity","14,292,748.06","0.26","14,292,748.06","1,514,924.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"VALMT","VALMET CORP","Industrials","Equity","14,153,708.13","0.25","14,153,708.13","442,578.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"ALGM","ALLEGRO MICROSYSTEMS INC","Information Technology","Equity","13,784,974.25","0.25","13,784,974.25","371,045.00","-","United States","NASDAQ","JPY","-","USD"
"ESAB","ESAB CORP","Industrials","Equity","13,345,051.93","0.24","13,345,051.93","170,000.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"ONDS","ONDAS INC","Information Technology","Equity","12,427,944.59","0.22","12,427,944.59","1,484,587.00","-","United States","NASDAQ","JPY","-","USD"
"MNDY","MONDAYCOM","Information Technology","Equity","12,228,839.42","0.22","12,228,839.42","134,082.00","-","Israel","NASDAQ","JPY","-","USD"
"5631","JAPAN STEEL WORKS LTD","Industrials","Equity","10,999,726.49","0.20","10,999,726.49","224,900.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"277810","RAINBOW ROBOTICS","Industrials","Equity","10,832,322.42","0.19","10,832,322.42","32,028.00","-","Korea (South)","Korea Exchange (Kosdaq)","JPY","-","KRW"
"2049","HIWIN TECHNOLOGIES CORP","Industrials","Equity","10,787,273.48","0.19","10,787,273.48","942,394.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"KAI","KADANT INC","Industrials","Equity","10,736,106.79","0.19","10,736,106.79","34,220.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"IFCN","INFICON HOLDING AG","Information Technology","Equity","10,733,325.99","0.19","10,733,325.99","51,936.00","-","Switzerland","SIX Swiss Exchange","JPY","-","CHF"
"TOTS3","TOTVS","Information Technology","Equity","9,845,138.96","0.18","9,845,138.96","1,634,170.00","-","Brazil","XBSP","JPY","-","BRL"
"9880","UBTECH ROBOTICS CORP LTD H","Industrials","Equity","9,790,079.15","0.18","9,790,079.15","946,000.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"AEHR","AEHR TEST SYSTEMS","Information Technology","Equity","9,648,258.42","0.17","9,648,258.42","91,140.00","-","United States","NASDAQ","JPY","-","USD"
"KGX","KION GROUP AG","Industrials","Equity","9,381,301.77","0.17","9,381,301.77","203,329.00","-","Germany","Xetra","JPY","-","EUR"
"AMBA","AMBARELLA","Information Technology","Equity","9,184,977.40","0.17","9,184,977.40","126,908.00","-","United States","NASDAQ","JPY","-","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","8,781,564.93","0.16","8,781,564.93","3,832.00","-","United States","-","JPY","-","USD"
"SYM","SYMBOTIC INC CLASS A","Industrials","Equity","8,688,326.79","0.16","8,688,326.79","209,775.00","-","United States","NASDAQ","JPY","-","USD"
"HIAB","HIAB CORPORATION CLASS B","Industrials","Equity","8,223,377.28","0.15","8,223,377.28","115,881.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"TDC","TERADATA","Information Technology","Equity","7,510,380.55","0.13","7,510,380.55","272,700.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"RSW","RENISHAW PLC","Information Technology","Equity","7,154,994.50","0.13","7,154,994.50","104,970.00","-","United Kingdom","London Stock Exchange","JPY","-","GBP"
"6324","HARMONIC DRIVE SYSTEMS","Industrials","Equity","6,689,488.84","0.12","6,689,488.84","182,300.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"TIETO","TIETO","Information Technology","Equity","6,687,820.36","0.12","6,687,820.36","299,691.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"IPGP","IPG PHOTONICS CORP","Information Technology","Equity","6,647,776.86","0.12","6,647,776.86","89,411.00","-","United States","NASDAQ","JPY","-","USD"
"JEN","JENOPTIK N AG","Information Technology","Equity","6,630,535.91","0.12","6,630,535.91","147,635.00","-","Germany","Xetra","JPY","-","EUR"
"OUST","OUSTER","Information Technology","Equity","6,614,407.28","0.12","6,614,407.28","174,480.00","-","United States","NASDAQ","JPY","-","USD"
"6526","SOCIONEXT","Information Technology","Equity","6,349,119.10","0.11","6,349,119.10","521,600.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"108490","ROBOTIS LTD","Information Technology","Equity","5,614,432.14","0.10","5,614,432.14","29,816.00","-","Korea (South)","Korea Exchange (Kosdaq)","JPY","-","KRW"
"AUTO","AUTOSTORE HOLDINGS LTD","Industrials","Equity","5,567,714.73","0.10","5,567,714.73","3,357,423.00","-","Norway","Oslo Bors Asa","JPY","-","NOK"
"ATS","ATS","Industrials","Equity","5,492,077.01","0.10","5,492,077.01","284,306.00","-","Canada","Toronto Stock Exchange","JPY","-","CAD"
"GENI","GENIUS SPORTS LTD","Consumer Discretionary","Equity","5,461,488.23","0.10","5,461,488.23","689,400.00","-","United Kingdom","New York Stock Exchange Inc.","JPY","-","USD"
"TWEKA","TKH GROUP","Industrials","Equity","5,449,808.87","0.10","5,449,808.87","95,924.00","-","Netherlands","Euronext Amsterdam","JPY","-","EUR"
"PRLB","PROTO LABS","Industrials","Equity","5,428,674.80","0.10","5,428,674.80","68,974.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"KARN","KARDEX HOLDING AG","Industrials","Equity","5,316,330.54","0.10","5,316,330.54","17,452.00","-","Switzerland","SIX Swiss Exchange","JPY","-","CHF"
"KRN","KRONES AG","Industrials","Equity","5,166,723.59","0.09","5,166,723.59","38,764.00","-","Germany","Xetra","JPY","-","EUR"
"PSN","PARSONS CORP","Industrials","Equity","5,157,825.03","0.09","5,157,825.03","112,097.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"5269","ASMEDIA TECHNOLOGY","Information Technology","Equity","5,093,866.67","0.09","5,093,866.67","114,448.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"KALMAR","KALMAR CORPORATION CLASS B","Industrials","Equity","5,053,267.01","0.09","5,053,267.01","114,788.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","5,010,132.34","0.09","5,010,132.34","50,101.00","100.00","Japan","-","JPY","1.00","JPY"
"454910","DOOSAN ROBOTICS INC","Industrials","Equity","4,904,216.21","0.09","4,904,216.21","94,562.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"MBLY","MOBILEYE GLOBAL INC CLASS A","Consumer Discretionary","Equity","4,830,803.13","0.09","4,830,803.13","544,556.00","-","United States","NASDAQ","JPY","-","USD"
"4733","OBIC BUSINESS CONSULTANTS LTD","Information Technology","Equity","4,611,676.21","0.08","4,611,676.21","88,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"GLOB","GLOBANT","Information Technology","Equity","4,559,953.36","0.08","4,559,953.36","115,181.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"BBAI","BIGBEAR.AI HOLDINGS","Information Technology","Equity","4,257,402.48","0.08","4,257,402.48","1,388,235.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"9759","NSD LTD","Information Technology","Equity","4,182,320.92","0.08","4,182,320.92","230,200.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"IMD","IMDEX LTD","Materials","Equity","4,064,415.07","0.07","4,064,415.07","1,483,584.00","-","Australia","Asx - All Markets","JPY","-","AUD"
"6814","FURUNO ELECTRIC LTD","Information Technology","Equity","3,897,567.16","0.07","3,897,567.16","79,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"INRN","INTERROLL HOLDING AG","Industrials","Equity","3,884,219.32","0.07","3,884,219.32","2,084.00","-","Switzerland","SIX Swiss Exchange","JPY","-","CHF"
"JUN3","JUNGHEINRICH PREF AG","Industrials","Equity","3,847,512.78","0.07","3,847,512.78","137,130.00","-","Germany","Xetra","JPY","-","EUR"
"3035","FARADAY TECHNOLOGY","Information Technology","Equity","3,717,927.57","0.07","3,717,927.57","692,078.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"3697","SHIFT INC","Information Technology","Equity","3,556,641.26","0.06","3,556,641.26","591,700.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4373","SIMPLEX HOLDINGS INC","Information Technology","Equity","3,527,720.96","0.06","3,527,720.96","473,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
