Ticker,Name,Fee,TER,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 10D,Price 15D,Price 20D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
6098,"Recruit Holdings Co., Ltd.",,,,0.15045,0.1344,0.18080999,0.11682,0.611,0.0021,-0.101763584916556,-0.19876337833,-0.282713488684367,-0.378180191155636,53123558400,17039781527552,35.21086,40.445427,10.793547,-0.0211915233906437,-0.00487804878048781,0.0268456375838926,0.0615784908933218,0.108695652173913,0.126553152323976,0.134383688600556,0.157994323557237,0.30718954248366,-0.183006535947712,0.0437091503267974,12240,,,1.5,Strong Buy,0.870577037052916,Communication Services,Momentum
6103,Okuma Corporation,,,,0.030350002,0.05322,0.07299,0.09769,0.937,0.0197,0.504181787629456,-0.0097736860889699,-0.0999897917517353,0.120813026485756,2873095600,299049156608,24.390244,18.36388,1.2289307,0.0550363447559709,0.0485036119711042,0.0273003033367037,0.0638743455497382,0.137737961926092,0.114035087719298,0.21968787515006,0.245098039215686,-0.0708661417322835,-0.251968503937008,-0.139370078740157,5080,,,2.8,Hold,1.32816398277488,Industrials,-
6113,"Amada Co., Ltd.",,,,0.039389998,0.069860004,0.12853,0.14953,0.064,0.0212,-0.0880331151671421,0.28186247444408,0.209957632512345,0.192189953416547,7636689540,935001784320,30.486694,23.500505,1.7473261,0.0110738255033557,-0.0169657422512235,-0.0201626016260163,-0.0147155003270111,0.0161888701517707,-0.0198438516590761,0.0366420092895235,-0.00033178500331785,0.294390972452705,-0.369399269830734,0.00753879853966142,3013,,,,,1.29727824997803,Industrials,-
6146,Disco Corporation,,,,0.16459,0.3102,0.4399,,0.111,0.007,-0.320226459928679,-0.209547247990921,-0.21522238760728,-0.112807483857214,107394604800,7870418518016,58.139626,53.316093,13.389873,0.0146832610823661,0.00917941585535466,-0.0526178352265309,-0.14150496923805,-0.0757865240096803,-0.145347467608952,-0.0918648310387985,0.114764172683976,0.65380374862183,-0.105567805953694,0.140642227122381,72560,,,2,Buy,1.09047048890098,Technology,Semiconductor
6178,"Japan Post Holdings Co., Ltd.",,,,0.00253,0.03316,0.08092,,0.179,0.0259,-0.108706604480479,-0.00776474668189034,-0.017831367412476,-0.0803239079565303,12441821195,6509252575232,17.952787,18.633514,0.6700552,-0.0173692014403728,-0.0152833793249841,0.0211314109619194,0.0696333871339636,0.0733456732993984,0.0352599866101317,0.000647109577221743,0.121615087040619,0.164043974994611,-0.331752532873464,0.0457919379176546,2319.5,,,1.7,Buy,0.963467599294476,Financial Services,Momentum
6273,SMC Corporation,,,,0.053979997,0.19857,0.22783001,0.00241,0.282,0.0132,-0.0139395708655671,-0.295845680685781,-0.27399429496199,-0.28925979488132,22988394000,4750993522688,28.653328,23.017738,2.255894,0.0492918633712858,0.0417700578990902,-0.00303430079155673,0.00505386354568427,0.0550048862208572,0.0374794069192751,0.153564341321936,0.0934741716104761,0.323276432446738,-0.206034140531957,0.0759182215164748,75570,,,1.9,Buy,1.24483682975278,Industrials,-
6301,Komatsu Ltd.,,,,0.05847,0.091079995,0.12448,0.38494,-0.156,0.0297,-0.096650569740341,-0.288972376323791,-0.3344171306606,-0.182334088110054,20432025000,5715885817856,15.455819,15.058397,1.641385,0,-0.0469448584202683,-0.0350082993813188,0.0217287106566544,0.0104281877073787,-0.0149414664202095,-0.0199233716475096,-0.0276721909685267,0.332290852228303,-0.218139171227522,-0.00221524628616111,6395,,,,,1.02639205222176,Industrials,-
6302,"Sumitomo Heavy Industries, Ltd.",,,,0.025999999,0.029930001,0.05234,0.40226,0.221,0.0274,0.123958380447167,-0.224837225972164,-0.264034675706584,-0.179354029292565,3392486520,628550008832,20.533945,15.810891,0.92219526,0.0274159051137468,-0.0127055306427504,-0.0134428678117999,0.00743565300285987,0.0272161741835148,-0.0365344116347723,0.0626796070131776,0.0256425031911437,0.305828917486752,-0.0915972747918244,0.102384557153671,5284,,,,,1.29872155844981,Industrials,-
6305,"Hitachi Construction Machinery Co., Ltd.",,,,0.04947,0.05208,0.108459994,0.59618,-0.131,0.0362,-0.406106493464018,-0.349304184926237,-0.380407577327676,-0.376351813322792,4176769410,1116226191360,15.244043,12.211413,1.2400228,0.00363427697016067,-0.0292321924144311,-0.0196188340807175,0.00787552823665002,-0.0187020759304283,-0.0297707100591716,-0.010560060343202,0.00923254472013849,0.530398322851153,-0.180484086144464,0.112381646655232,5247,,,,,1.24834390581991,Industrials,-
6315,TOWA Corporation,,,,0.04563,0.08448,0.18535,0.25734,-0.338,0.0077,-0.468405007749989,-0.0618042767226453,-0.174923759979306,-0.167433527382942,12363719100,234837688320,51.018745,16.202505,3.3257964,0.0457734714333445,0.00805152979066023,-0.0614692653673163,-0.115819209039548,-0.0141732283464567,-0.0586466165413534,0.0646258503401361,0.0415973377703827,0.277955271565495,-0.00958466453674121,0.0942492012779553,3130,,,1.7,Buy,3.14881834629892,Technology,Semiconductor
