1593,MAXIS JPX日経インデックス400上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（ＭＡＸＩＳ　ＪＰＸ－Ｎｉｋｋｅｉ４００）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),1182958398471 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,98.77%,,,,
Future contracts*,先物組入比率(Future contracts)*,1.23%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,1.23%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),401 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
101,4194,ビジョナル　　　　　　　　　　　　　　　,"VISIONAL,INC.                                                                   ",41700 ,373048200 ,0.03%
102,4202,ダイセル　　　　　　　　　　　　　　　　,DAICEL CORPORATION                                                              ,322200 ,477500400 ,0.04%
103,4203,住友ベークライト　　　　　　　　　　　　,"SUMITOMO BAKELITE COMPANY,LIMITED                                               ",100900 ,709730600 ,0.06%
104,4204,積水化学工業　　　　　　　　　　　　　　,"SEKISUI CHEMICAL CO.,LTD.                                                       ",602700 ,1567924050 ,0.13%
105,4206,アイカ工業　　　　　　　　　　　　　　　,"AICA KOGYO COMPANY,LIMITED                                                      ",77300 ,319403600 ,0.03%
106,4307,野村総合研究所　　　　　　　　　　　　　,"NOMURA RESEARCH INSTITUTE,LTD.                                                  ",577500 ,2985097500 ,0.25%
107,4373,シンプレクス・ホールディングス　　　　　,"SIMPLEX HOLDINGS,INC.                                                           ",244300 ,290961300 ,0.02%
108,4385,メルカリ　　　　　　　　　　　　　　　　,"MERCARI,INC.                                                                    ",132000 ,572880000 ,0.05%
109,4401,ＡＤＥＫＡ　　　　　　　　　　　　　　　,ADEKA CORPORATION                                                               ,113100 ,523200600 ,0.04%
110,4403,日油　　　　　　　　　　　　　　　　　　,NOF CORPORATION                                                                 ,351600 ,939123600 ,0.08%
111,4452,花王　　　　　　　　　　　　　　　　　　,KAO CORPORATION                                                                 ,1452200 ,5156762200 ,0.44%
112,4503,アステラス製薬　　　　　　　　　　　　　,ASTELLAS PHARMA INC.                                                            ,2689900 ,6501488300 ,0.55%
113,4507,塩野義製薬　　　　　　　　　　　　　　　,"SHIONOGI & CO.,LTD.                                                             ",1118900 ,3347748800 ,0.28%
114,4516,日本新薬　　　　　　　　　　　　　　　　,"NIPPON SHINYAKU CO.,LTD.                                                        ",80300 ,280969700 ,0.02%
115,4519,中外製薬　　　　　　　　　　　　　　　　,"CHUGAI PHARMACEUTICAL CO.,LTD.                                                  ",959900 ,6602192200 ,0.56%
116,4523,エーザイ　　　　　　　　　　　　　　　　,"EISAI CO.,LTD.                                                                  ",400200 ,1925362200 ,0.16%
117,4527,ロート製薬　　　　　　　　　　　　　　　,"ROHTO PHARMACEUTICAL CO.,LTD.                                                   ",324000 ,990468000 ,0.08%
118,4528,小野薬品工業　　　　　　　　　　　　　　,"ONO PHARMACEUTICAL CO.,LTD.                                                     ",684200 ,1703658000 ,0.14%
119,4536,参天製薬　　　　　　　　　　　　　　　　,"SANTEN PHARMACEUTICAL CO.,LTD.                                                  ",515900 ,965248900 ,0.08%
120,4543,テルモ　　　　　　　　　　　　　　　　　,TERUMO CORPORATION                                                              ,2031400 ,5012479500 ,0.42%
121,4568,第一三共　　　　　　　　　　　　　　　　,"DAIICHI SANKYO COMPANY,LIMITED                                                  ",2769000 ,7904110500 ,0.67%
122,4578,大塚ホールディングス　　　　　　　　　　,"OTSUKA HOLDINGS CO.,LTD.                                                        ",745000 ,9118800000 ,0.77%
123,4612,日本ペイントホールディングス　　　　　　,"NIPPON PAINT HOLDINGS CO.,LTD.                                                  ",1626200 ,1870130000 ,0.16%
124,4613,関西ペイント　　　　　　　　　　　　　　,"KANSAI PAINT CO.,LTD.                                                           ",244200 ,687911400 ,0.06%
125,4626,太陽ホールディングス　　　　　　　　　　,"TAIYO HOLDINGS CO.,LTD.                                                         ",147000 ,694575000 ,0.06%
126,4661,オリエンタルランド　　　　　　　　　　　,"ORIENTAL LAND CO.,LTD.                                                          ",1852700 ,5745222700 ,0.49%
127,4666,パーク２４　　　　　　　　　　　　　　　,"PARK24 CO.,LTD.                                                                 ",215100 ,434394450 ,0.04%
128,4680,ラウンドワン　　　　　　　　　　　　　　,ROUND ONE CORPORATION                                                           ,297600 ,377356800 ,0.03%
129,4681,リゾートトラスト　　　　　　　　　　　　,"RESORTTRUST,INC.                                                                ",297800 ,541549300 ,0.05%
130,4684,オービック　　　　　　　　　　　　　　　,"OBIC CO.,LTD.                                                                   ",562500 ,2850750000 ,0.24%
131,4686,ジャストシステム　　　　　　　　　　　　,JUSTSYSTEMS CORPORATION                                                         ,44100 ,187866000 ,0.02%
132,4689,ＬＩＮＥヤフー　　　　　　　　　　　　　,LY CORPORATION                                                                  ,4723300 ,2521769870 ,0.21%
133,4704,トレンドマイクロ　　　　　　　　　　　　,TREND MICRO INCORPORATED                                                        ,161100 ,926647200 ,0.08%
134,4716,日本オラクル　　　　　　　　　　　　　　,ORACLE CORPORATION JAPAN                                                        ,58700 ,535402700 ,0.05%
135,4722,フューチャー　　　　　　　　　　　　　　,FUTURE CORPORATION                                                              ,76300 ,186706100 ,0.02%
136,4732,ユー・エス・エス　　　　　　　　　　　　,"USS CO.,LTD.                                                                    ",596200 ,1182264600 ,0.10%
137,4733,オービックビジネスコンサルタント　　　　,"OBIC BUSINESS CONSULTANTS CO.,LTD.                                              ",51700 ,440277200 ,0.04%
138,4751,サイバーエージェント　　　　　　　　　　,"CYBERAGENT,INC.                                                                 ",695800 ,885753400 ,0.07%
139,4768,大塚商会　　　　　　　　　　　　　　　　,OTSUKA CORPORATION                                                              ,347600 ,1253445600 ,0.11%
140,4812,電通総研　　　　　　　　　　　　　　　　,DENTSU SOKEN INC.                                                               ,134200 ,382872600 ,0.03%
