1597,ＭＡＸＩＳ Ｊリート上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（MAXIS J-REIT ETF）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),233943812116 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,96.40%,,,,
Future contracts*,先物組入比率(Future contracts)*,3.60%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,3.60%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),59 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
50,8972  ,ＫＤＸ不動産投資法人　　　　　　　　　　　　　　　　　　　　,KDX REALTY INVESTMENT CORPORATION                                               ,63048 ,9343713600 ,3.99%
51,8975  ,いちごオフィスリート投資法人　　　　　　　　　　　　　　　　,ICHIGO OFFICE REIT INVESTMENT CORPORATION                                       ,15501 ,1463294400 ,0.63%
52,8976  ,大和証券オフィス投資法人　　　　　　　　　　　　　　　　　　,DAIWA OFFICE INVESTMENT CORPORATION                                             ,8755 ,2740315000 ,1.17%
53,8977  ,阪急阪神リート投資法人　　　　　　　　　　　　　　　　　　　,"HANKYU HANSHIN REIT,INC.                                                        ",9223 ,1248794200 ,0.53%
54,8979  ,スターツプロシード投資法人　　　　　　　　　　　　　　　　　,STARTS PROCEED INVESTMENT CORPORATION                                           ,3614 ,667505800 ,0.29%
55,8984  ,大和ハウスリート投資法人　　　　　　　　　　　　　　　　　　,DAIWA HOUSE REIT INVESTMENT CORPORATION                                         ,67319 ,7862859200 ,3.36%
56,8985  ,ジャパン・ホテル・リート投資法人　　　　　　　　　　　　　　,JAPAN HOTEL REIT INVESTMENT CORPORATION                                         ,92154 ,7676428200 ,3.28%
57,8986  ,大和証券リビング投資法人　　　　　　　　　　　　　　　　　　,DAIWA SECURITIES LIVING INVESTMENT CORPORATION                                  ,31659 ,2982277800 ,1.27%
58,8987  ,ジャパンエクセレント投資法人　　　　　　　　　　　　　　　　,"JAPAN EXCELLENT,INC.                                                            ",18128 ,2494412800 ,1.07%
59,TREU6,東証ＲＥＩＴ　２６年０９月限　　　　　　　　　　　　　　　　,TSEREIT 2609,4750 ,8424125000 ,3.60%
,,,,,,
,,,計,,,
,,,Total,,233943633400 ,100.00%
,,,,,,
当資料は、受益者への開示を目的として三菱 UFJ アセットマネジメントが作成した資料であり、金融商品取引法に基づく開示資料ではありません。,,,,,,
また、勧誘を目的に使用することはできません。当資料の内容は作成時点のものであり、将来予告なく変更されることがあります。,,,,,,
当資料は、信頼できると判断した情報等に基づき作成しておりますが、その正確性、完全性を保証するものではありません。,,,,,,
投資信託は、値動きのある有価証券等に投資しますので、基準価額は変動します。したがって、投資元金および運用成果が保証されて,,,,,,
いるものではありません。投資信託の運用による損益は、投資信託をご購入のお客さまに帰属します。投資信託の取得のお申込みを,,,,,,
行う場合は、最新の投資信託説明書（交付目論見書）の内容を必ずご確認のうえ、ご自身でご判断ください。,,,,,,
